10,1,0,32
20,0,0,33
30,1,0,33
40,1,1,33
50,1,0,33
60,2,0,33
70,1,1,32
80,1,1,32
90,2,0,33
100,1,1,33
110,2,1,33
120,1,1,33
130,1,1,34
140,2,0,34
150,1,1,34
160,1,1,34
170,2,1,35
180,1,1,35
190,2,1,36
200,1,1,37
210,2,2,38
220,1,1,39
230,2,1,40
240,1,1,41
250,2,1,42
260,1,2,43
270,2,1,44
280,2,2,45
290,1,1,45
300,2,1,45
310,2,2,45
320,2,1,45
330,2,2,46
340,1,1,46
350,2,2,46
360,2,1,46
370,2,2,46
380,2,2,47
390,2,2,48
400,2,2,48
410,2,1,49
420,1,2,49
430,2,2,49
440,2,2,49
450,2,2,50
460,2,2,50
470,3,2,50
480,2,3,50
490,2,2,51
500,2,2,51
510,2,3,51
520,3,2,51
530,2,3,50
540,2,2,50
550,3,3,50
560,3,3,50
570,2,3,50
580,3,3,50
590,2,3,50
600,3,3,50
610,2,4,50
620,3,3,50
630,2,4,50
640,3,3,50
650,2,4,50
660,3,4,50
670,2,4,50
680,2,4,50
690,3,4,50
700,2,4,49
710,2,4,49
720,2,4,46
730,1,4,44
740,2,3,42
750,2,4,42
760,1,4,42
770,2,3,41
780,1,4,40
790,2,4,39
800,2,4,38
810,1,4,37
820,2,4,35
830,2,4,34
840,2,4,33
850,2,4,33
860,2,4,33
870,2,4,33
880,2,4,33
890,2,4,33
900,3,4,34
910,2,5,33
920,3,4,33
930,2,4,34
940,3,3,33
950,3,4,34
960,3,4,33
970,3,4,33
980,3,4,33
990,3,3,33
1000,3,4,34
1010,3,3,34
1020,4,4,33
1030,3,4,34
1040,3,3,34
1050,4,3,33
1060,3,4,33
1070,4,3,33
1080,3,3,33
1090,4,3,33
1100,3,3,33
1110,4,4,34
1120,4,3,33
1130,4,3,33
1140,4,3,34
1150,4,3,33
1160,4,2,34
1170,4,3,34
1180,4,3,34
1190,5,3,34
1200,4,3,33
1210,4,2,33
1220,5,3,33
1230,5,3,33
1240,4,2,33
1250,5,3,33
1260,5,3,33
1270,5,2,32
1280,5,3,33
1290,5,3,33
1300,5,2,33
1310,5,3,33
1320,5,3,34
1330,5,3,34
1340,5,3,34
1350,6,3,35
1360,5,3,37
1370,5,3,39
1380,4,3,41
1390,6,3,42
1400,4,3,44
1410,5,3,45
1420,5,3,45
1430,5,3,46
1440,5,3,47
1450,5,4,48
1460,4,3,49
1470,5,4,50
1480,5,3,50
1490,4,4,50
1500,5,4,51
1510,4,3,50
1520,5,4,51
1530,4,4,51
1540,5,4,51
1550,4,4,51
1560,4,5,50
1570,4,4,50
1580,4,5,51
1590,4,4,50
1600,5,5,50
1610,4,5,50
1620,4,5,50
1630,4,5,50
1640,3,5,50
1650,5,5,50
1660,3,5,50
1670,4,6,50
1680,4,6,50
1690,4,5,50
1700,3,6,51
1710,4,5,50
1720,4,6,49
1730,3,5,49
1740,4,6,50
1750,3,6,50
1760,4,5,50
1770,3,6,50
1780,4,6,50
1790,3,6,50
1800,4,5,50
1810,3,6,50
1820,4,6,49
1830,3,6,47
1840,3,5,46
1850,4,6,44
1860,3,6,40
1870,3,6,38
1880,3,5,35
1890,4,6,34
1900,3,5,33
1910,3,6,34
1920,4,6,34
1930,3,5,33
1940,3,6,33
1950,4,5,33
1960,3,5,33
1970,3,6,33
1980,4,5,33
1990,3,5,33
2000,4,5,33
2010,4,5,33
2020,3,5,33
2030,4,5,33
2040,4,5,34
2050,4,5,33
2060,4,5,33
2070,4,4,33
2080,5,5,33
2090,4,4,34
2100,4,4,33
2110,5,4,33
2120,4,4,33
2130,5,4,32
2140,5,4,33
2150,5,4,33
2160,5,4,32
2170,4,4,33
2180,6,3,33
2190,5,4,33
2200,5,4,34
2210,5,3,34
2220,5,3,33
2230,5,4,33
2240,5,3,33
2250,5,4,33
2260,6,3,33
2270,5,4,32
2280,6,3,33
2290,5,4,33
2300,5,3,33
2310,6,4,33
2320,5,3,33
2330,6,4,32
2340,5,3,31
2350,6,4,31
2360,6,3,31
2370,5,3,31
2380,6,4,31
2390,5,3,31
2400,6,4,32
2410,6,3,34
2420,5,3,33
2430,6,4,34
2440,6,3,36
2450,5,3,39
2460,6,4,42
2470,5,3,44
2480,6,4,45
2490,5,4,47
2500,5,3,47
2510,6,4,48
2520,5,4,49
2530,5,4,50
2540,5,4,50
2550,5,4,50
2560,4,4,50
2570,5,4,49
2580,5,4,49
2590,4,4,49
2600,5,5,49
2610,4,4,50
2620,5,4,50
2630,4,5,50
2640,4,5,50
2650,5,4,50
2660,4,5,50
2670,4,5,50
2680,4,5,50
2690,4,5,50
2700,4,5,49
2710,4,5,49
2720,4,5,49
2730,3,5,49
2740,4,6,49
2750,4,5,49
2760,4,5,50
2770,4,6,50
2780,3,6,50
2790,4,5,50
2800,3,6,51
2810,4,6,50
2820,4,5,50
2830,4,6,50
2840,3,6,49
2850,4,6,50
2860,3,6,50
2870,4,6,50
2880,4,6,50
2890,3,6,50
2900,4,6,50
2910,4,6,50
2920,3,6,51
2930,4,6,51
2940,3,6,51
2950,4,6,50
2960,4,6,49
2970,3,6,47
2980,4,6,44
2990,4,6,40
3000,3,6,35
3010,4,5,34
3020,4,6,34
3030,3,6,33
3040,4,6,33
3050,4,6,32
3060,4,5,33
3070,4,6,33
3080,4,6,33
3090,3,5,33
3100,4,6,33
3110,4,5,33
3120,5,6,33
3130,4,5,34
3140,4,6,34
3150,4,5,32
3160,5,6,32
3170,4,5,33
3180,5,5,32
3190,4,6,32
3200,5,5,33
