@RELATION distance

@ATTRIBUTE distance NUMERIC

@DATA
38
38
37
36
38
35
36
35
34
33
33
29
27
27
27
25
25
25
25
25
25
24
24
25
25
25
26
26
27
29
31
36
52
157
52
51
50
30
30
27
26
26
25
24
24
24
24
24
24
23
24
24
24
24
25
25
26
27
42
43
29
31
35
41
47
40
39
38
37
37
36
36
35
35
33
32
31
30
28
27
26
25
24
25
25
25
24
24
24
24
24
25
26
27
28
156
30
53
156
52
31
50
49
48
47
26
25
24
24
24
24
24
23
23
23
23
23
23
23
24
24
24
25
25
25
29
38
40
35
46
43
38
40
45
36
34
33
32
32
31
30
30
27
28
25
25
24
24
23
24
23
23
23
23
24
23
24
24
25
154
255
154
33
28
48
48
47
45
46
27
26
25
25
24
23
24
24
24
23
23
23
23
23
23
23
24
24
24
25
25
31
35
36
28
40
40
39
38
38
37
35
36
34
34
32
33
30
29
28
27
25
25
24
24
25
24
24
24
24
24
24
24
25
27
29
155
156
32
51
156
50
47
48
47
47
25
24
24
24
24
23
23
23
23
23
23
23
23
23
23
23
24
24
26
26
37
36
38
34
39
46
36
37
36
35
34
36
34
35
34
35
29
27
25
26
25
25
25
26
25
25
25
26
26
26
27
27
29
32
159
159
55
36
159
53
53
31
30
30
28
28
27
27
26
27
26
26
26
26
26
27
27
28
28
29
31
32
49
34
35
49
48
50
49
41
41
39
38
39
38
39
37
39
35
33
33
29
29
29
28
28
29
29
28
28
28
28
28
29
31
30
31
33
161
161
36
37
56
57
55
31
30
30
30
29
29
28
28
28
28
27
28
28
28
29
29
30
30
31
31
35
47
48
48
49
50
51
33
33
33
34
34
35
36
36
36
40
37
40
37
36
37
38
38
40
39
42
37
38
37
37
37
38
35
38
37
37
38
32
37
31
29
28
28
27
27
28
28
27
26
26
27
27
28
28
32
34
255
49
255
48
49
52
50
156
51
34
52
53
33
33
33
32
34
35
36
35
36
38
36
37
36
36
37
38
38
41
38
37
38
37
37
37
129
36
39
37
38
38
32
38
31
29
29
29
28
28
29
28
28
29
29
30
30
31
31
33
35
37
52
255
53
159
54
158
54
158
159
159
159
32
32
33
31
33
33
40
35
36
37
36
38
37
37
37
38
39
43
39
43
39
40
40
39
38
42
39
38
41
41
38
40
34
34
32
33
32
31
32
33
32
32
32
32
33
35
35
37
37
40
41
58
58
255
59
164
59
164
164
166
166
64
