@RELATION elevation

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE elevation NUMERIC

@DATA
280.5,65.0,61
280.5,65.0,61
277.5,65.5,61
277.5,65.5,61
277.0,65.5,61
277.0,65.5,61
275.0,66.5,61
275.0,66.5,61
273.5,67.5,61
273.5,67.5,61
272.5,66.5,61
272.5,66.5,61
270.0,66.5,61
268.5,67.0,61
268.5,67.0,61
268.5,67.0,61
267.5,67.0,61
265.5,67.0,61
265.5,67.0,61
265.5,67.0,61
263.0,66.5,61
261.5,67.0,61
261.5,67.0,61
260.5,67.5,61
260.5,67.5,61
259.5,67.5,60
259.5,67.5,60
258.5,68.0,60
258.5,68.0,60
255.0,67.0,60
255.0,67.0,60
254.0,68.5,60
254.0,68.5,60
251.0,68.0,60
251.0,68.5,60
251.0,68.5,60
251.0,68.5,60
249.5,69.0,60
248.0,68.0,60
248.0,68.0,60
248.0,68.0,60
246.0,69.0,60
244.5,68.0,60
244.5,68.0,60
242.0,68.0,60
242.0,68.0,60
240.0,69.5,60
240.0,69.5,60
239.0,69.0,60
239.0,69.0,60
237.5,69.0,60
237.5,69.0,60
237.5,69.0,60
235.5,70.0,60
232.0,69.0,60
232.0,69.0,60
232.0,69.0,60
232.0,69.0,60
230.5,70.0,60
230.5,70.0,60
230.5,70.0,60
229.5,70.0,60
227.0,69.5,60
227.0,69.5,60
227.0,69.5,60
226.5,70.5,60
224.5,70.0,60
224.5,70.0,60
222.5,70.0,60
222.5,70.0,60
221.5,69.5,60
221.5,69.5,60
219.5,69.5,60
219.5,69.5,60
217.5,70.5,60
217.5,70.5,61
216.0,70.5,61
216.0,70.5,61
214.0,70.0,61
214.0,70.0,61
213.5,70.0,61
213.5,70.0,61
209.5,69.5,61
209.0,70.5,61
209.0,70.5,61
209.0,70.5,61
207.5,70.0,61
205.0,72.0,61
205.0,72.0,61
204.0,71.0,61
204.0,71.0,61
203.0,71.0,61
203.0,71.0,61
201.5,72.5,61
201.5,72.5,61
198.5,72.0,61
198.5,72.0,61
197.5,70.5,61
197.5,70.5,61
196.0,71.0,61
195.5,72.0,61
195.5,72.0,61
195.5,72.0,61
193.5,71.0,61
191.0,72.5,61
191.0,72.5,61
190.5,71.0,61
190.5,71.0,61
187.0,71.5,61
187.0,71.5,61
186.0,72.0,61
186.0,72.0,61
185.0,72.5,61
185.0,72.5,61
183.5,72.5,61
183.5,72.5,61
181.5,73.0,61
181.5,73.0,61
180.5,72.5,61
180.5,72.5,61
178.5,72.5,61
178.5,72.5,61
176.5,73.0,61
176.5,73.0,61
174.5,74.0,61
174.5,74.0,61
174.5,73.5,61
174.5,73.5,61
172.0,73.0,61
172.0,73.0,61
170.0,75.5,61
168.0,73.0,61
168.0,73.0,61
168.0,73.0,61
167.0,73.5,61
165.0,73.5,61
165.0,73.5,61
163.5,74.5,61
163.5,74.5,60
162.0,76.0,61
162.0,76.0,60
161.5,74.0,60
161.5,74.0,60
157.0,75.0,60
157.0,75.0,60
158.5,75.0,60
158.5,75.0,60
155.0,75.0,60
155.0,75.0,60
153.0,75.0,60
153.0,75.0,60
150.5,74.5,60
150.0,76.5,60
150.0,76.5,60
150.0,76.5,60
148.5,76.0,60
147.5,75.0,60
147.5,75.0,60
147.5,75.0,60
145.5,76.5,60
143.5,75.5,60
143.5,75.5,60
142.5,76.5,60
142.5,76.5,60
140.0,77.5,60
140.0,77.5,60
139.5,76.5,60
139.5,76.5,60
136.5,77.5,60
136.5,77.5,60
135.0,76.5,60
135.0,76.5,60
133.0,77.5,60
132.5,77.5,60
132.5,77.5,60
132.5,77.5,60
130.5,77.0,60
129.5,77.0,60
129.5,77.0,60
127.0,76.5,60
127.0,76.5,60
125.5,77.5,60
125.5,77.5,60
123.0,77.0,60
123.0,77.0,61
122.5,78.5,60
122.5,78.5,60
120.5,78.0,61
94.0,101.0,62
94.5,101.5,62
94.5,101.5,62
94.0,100.5,62
94.0,100.5,62
94.0,100.5,62
94.0,100.5,62
95.0,100.5,62
95.0,100.5,62
97.0,99.5,62
97.0,99.5,62
97.5,99.0,62
97.5,99.0,62
99.0,99.5,62
99.0,99.5,62
102.0,99.5,62
102.0,99.5,62
104.0,100.0,62
104.0,100.0,62
105.0,100.0,62
